# US Census Bureau, National County and Equivalent Entities file, 2020 vintage:
# https://www2.census.gov/geo/docs/reference/codes2020/national_county2020.txt (fetched 2026-09-08).
# Filtered to the three in-scope states. Columns as published; county_geoid = STATEFP || COUNTYFP.
state,state_fips,county_fips,county_geoid,county_name,class_fp
TX,48,241,48241,"Jasper County",H1
TX,48,243,48243,"Jeff Davis County",H1
TX,48,245,48245,"Jefferson County",H1
TX,48,247,48247,"Jim Hogg County",H1
TX,48,249,48249,"Jim Wells County",H1
TX,48,251,48251,"Johnson County",H1
TX,48,253,48253,"Jones County",H1
TX,48,255,48255,"Karnes County",H1
TX,48,257,48257,"Kaufman County",H1
TX,48,259,48259,"Kendall County",H1
TX,48,261,48261,"Kenedy County",H1
TX,48,263,48263,"Kent County",H1
TX,48,265,48265,"Kerr County",H1
TX,48,267,48267,"Kimble County",H1
TX,48,269,48269,"King County",H1
TX,48,271,48271,"Kinney County",H1
TX,48,273,48273,"Kleberg County",H1
TX,48,275,48275,"Knox County",H1
TX,48,277,48277,"Lamar County",H1
TX,48,279,48279,"Lamb County",H1
TX,48,281,48281,"Lampasas County",H1
TX,48,283,48283,"La Salle County",H1
TX,48,285,48285,"Lavaca County",H1
TX,48,287,48287,"Lee County",H1
TX,48,289,48289,"Leon County",H1
TX,48,291,48291,"Liberty County",H1
TX,48,293,48293,"Limestone County",H1
TX,48,295,48295,"Lipscomb County",H1
TX,48,297,48297,"Live Oak County",H1
TX,48,299,48299,"Llano County",H1
TX,48,301,48301,"Loving County",H1
TX,48,303,48303,"Lubbock County",H1
TX,48,305,48305,"Lynn County",H1
TX,48,307,48307,"McCulloch County",H1
TX,48,309,48309,"McLennan County",H1
TX,48,311,48311,"McMullen County",H1
TX,48,313,48313,"Madison County",H1
TX,48,315,48315,"Marion County",H1
TX,48,317,48317,"Martin County",H1
TX,48,319,48319,"Mason County",H1
TX,48,321,48321,"Matagorda County",H1
TX,48,323,48323,"Maverick County",H1
TX,48,325,48325,"Medina County",H1
TX,48,327,48327,"Menard County",H1
TX,48,329,48329,"Midland County",H1
TX,48,331,48331,"Milam County",H1
TX,48,333,48333,"Mills County",H1
TX,48,335,48335,"Mitchell County",H1
TX,48,337,48337,"Montague County",H1
TX,48,339,48339,"Montgomery County",H1
TX,48,341,48341,"Moore County",H1
TX,48,343,48343,"Morris County",H1
TX,48,345,48345,"Motley County",H1
TX,48,347,48347,"Nacogdoches County",H1
TX,48,349,48349,"Navarro County",H1
TX,48,351,48351,"Newton County",H1
TX,48,353,48353,"Nolan County",H1
TX,48,355,48355,"Nueces County",H1
TX,48,357,48357,"Ochiltree County",H1
TX,48,359,48359,"Oldham County",H1
TX,48,361,48361,"Orange County",H1
TX,48,363,48363,"Palo Pinto County",H1
TX,48,365,48365,"Panola County",H1
TX,48,367,48367,"Parker County",H1
TX,48,369,48369,"Parmer County",H1
TX,48,371,48371,"Pecos County",H1
TX,48,373,48373,"Polk County",H1
TX,48,375,48375,"Potter County",H1
TX,48,377,48377,"Presidio County",H1
TX,48,379,48379,"Rains County",H1
TX,48,381,48381,"Randall County",H1
TX,48,383,48383,"Reagan County",H1
TX,48,385,48385,"Real County",H1
TX,48,387,48387,"Red River County",H1
TX,48,389,48389,"Reeves County",H1
TX,48,391,48391,"Refugio County",H1
TX,48,393,48393,"Roberts County",H1
